ID,step,angle,ID_old,time,lon.x,lat.x,x,y,state_m2_v,state_m2_w,state_m3_v,state_m3_w,datetimelo,date,lat.y,lon.y,dawn,sunrise,sunset,dusk,diel,habitat
A69-1602-63776-366,NA,NA,A69-1602-63776,2023-06-06 13:10:30,-88.296457280292003,30.387742007299298,375443.420285847038031,3362464.496583309955895,2,1,1,1,2023-06-06 08:10:30,2023-06-06,30.399999999999999,-88.250000000000000,2023-06-06 05:24:44,2023-06-06 05:52:06,2023-06-06 19:54:03,2023-06-06 20:21:25,day,em_veg
A69-1602-63776-405,"0.697330436733964",NA,A69-1602-63776,2023-06-20 17:00:45,-88.296471999999994,30.387730000000001,375441.990742761990987,3362463.182022139895707,2,1,1,1,2023-06-20 12:00:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,"1.50655191428236","1.02751543148569",A69-1602-63776,2023-06-20 17:03:45,-88.296470738553495,30.387736195783500,375442.119807003007736,3362463.867304679937661,2,1,1,1,2023-06-20 12:03:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,"2.86968182179648","-2.90050675041972",A69-1602-63776,2023-06-20 17:06:45,-88.296482546665899,30.387745138000302,375440.996598183992319,3362464.871346820145845,2,1,1,1,2023-06-20 12:06:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,"1.96216799267969","0.68771844328537",A69-1602-63776,2023-06-20 17:09:45,-88.296456014124701,30.387733253108401,375443.530835480021778,3362463.524975739885122,2,1,1,1,2023-06-20 12:09:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,"0.150337797495957","0.151348827238302",A69-1602-63776,2023-06-20 17:12:45,-88.296436045882402,30.387736957647100,375445.454137202992570,3362463.913580569904298,2,1,1,1,2023-06-20 12:12:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,"0.129668780585047","3.01833919491244",A69-1602-63776,2023-06-20 17:15:45,-88.296434582802519,30.387737438216600,375445.595323500980157,3362463.965232119895518,2,1,1,1,2023-06-20 12:15:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-63776-405,NA,NA,A69-1602-63776,2023-06-20 17:18:45,-88.296435893939403,30.387737161363599,375445.468994750990532,3362463.935991059988737,2,1,1,1,2023-06-20 12:18:45,2023-06-20,30.399999999999999,-88.250000000000000,2023-06-20 05:24:52,2023-06-20 05:52:30,2023-06-20 19:59:05,2023-06-20 20:26:42,day,em_veg
A69-1602-60023-281,"0.759278697060162",NA,A69-1602-60023,2022-12-06 00:40:50,-88.296415566905196,30.387769468580899,375447.463059100962710,3362467.494196820538491,2,1,1,1,2022-12-05 18:40:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-281,"0.731921230820701","2.89098338990439",A69-1602-60023,2022-12-06 00:43:50,-88.296409868258394,30.387764722929401,375448.004579035972711,3362466.961974780075252,2,1,1,1,2022-12-05 18:43:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-281,"0.333184899758168","-2.91451191539733",A69-1602-60023,2022-12-06 00:46:50,-88.296413881372800,30.387770335738399,375447.626109646982513,3362467.588448729831725,2,1,1,1,2022-12-05 18:46:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-281,"0.26541521641881","-0.570432010675424",A69-1602-60023,2022-12-06 00:49:50,-88.296411437910095,30.387768202835300,375447.858177842048462,3362467.349374410230666,2,1,1,1,2022-12-05 18:49:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-281,"2.56631364915483","-0.975382742605262",A69-1602-60023,2022-12-06 00:52:50,-88.296410857935399,30.387765861548601,375447.910932871978730,3362467.089254930149764,2,1,1,1,2022-12-05 18:52:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-281,NA,NA,A69-1602-60023,2022-12-06 00:55:50,-88.296429331617801,30.387749139923500,375446.114717682066839,3362465.256340110674500,2,1,1,1,2022-12-05 18:55:50,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.972106107846825",NA,A69-1602-60023,2022-12-06 02:04:24,-88.296422426209404,30.387769732952599,375446.804334658023436,3362467.531041500158608,2,1,1,1,2022-12-05 20:04:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"1.37746562125502","-1.91853796701409",A69-1602-60023,2022-12-06 02:07:24,-88.296429579832704,30.387763531153901,375446.109127354051452,3362466.851573260035366,2,1,1,1,2022-12-05 20:07:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.869445858719186","-2.93037150545157",A69-1602-60023,2022-12-06 02:10:24,-88.296435655382695,30.387774787768102,375445.539654457010329,3362468.105810939799994,2,1,1,1,2022-12-05 20:10:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.736926888024849","-0.0604029269866516",A69-1602-60023,2022-12-06 02:13:24,-88.296430187543706,30.387768537602099,375446.057088800007477,3362467.407099409960210,2,1,1,1,2022-12-05 20:13:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.594245943605194","-0.362531350137246",A69-1602-60023,2022-12-06 02:16:24,-88.296425930423595,30.387763007192600,375446.459107352013234,3362466.789489239919931,2,1,1,1,2022-12-05 20:16:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.748384301468574","1.27091946994811",A69-1602-60023,2022-12-06 02:19:24,-88.296424544982003,30.387757781968300,375446.585594762989786,3362466.208860979881138,2,1,1,1,2022-12-05 20:19:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"1.68573216097596","2.36549083555644",A69-1602-60023,2022-12-06 02:22:24,-88.296416777803799,30.387757283200099,375447.331252812000457,3362466.145039849914610,2,1,1,1,2022-12-05 20:22:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.512266181332817","2.82149195968492",A69-1602-60023,2022-12-06 02:25:24,-88.296428355707405,30.387768709992201,375446.233315133024007,3362467.424190260004252,2,1,1,1,2022-12-05 20:25:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,"0.316776435429377","1.39233548297143",A69-1602-60023,2022-12-06 02:28:24,-88.296426276417805,30.387764454178200,375446.427699177002069,3362466.950237220153213,2,1,1,1,2022-12-05 20:28:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-289,NA,NA,A69-1602-60023,2022-12-06 02:31:24,-88.296423060764596,30.387765084022298,375446.737466663005762,3362467.016504969913512,2,1,1,1,2022-12-05 20:31:24,2022-12-06,30.399999999999999,-88.250000000000000,2022-12-06 06:11:13,2022-12-06 06:37:29,2022-12-06 16:53:33,2022-12-06 17:19:49,night,em_veg
A69-1602-60023-618,"3.00510462112133",NA,A69-1602-60023,2023-03-27 13:44:37,-88.296335975048606,30.387848047276002,375455.210141751973424,3362476.115422300063074,2,1,1,1,2023-03-27 08:44:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"2.54070962400635","3.08140984188222",A69-1602-60023,2023-03-27 13:47:37,-88.296348708642000,30.387872811225201,375454.018083126982674,3362478.873981710057706,2,1,1,1,2023-03-27 08:47:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
