"","ID","ID_old","time","x","y","lon","lat"
"18767","A69-1604-28068-11231","A69-1604-28068","2023-02-15 11:37:49",375533.61519567,3362393.90117291,-88.2955102768653,30.3871144244133
"18768","A69-1604-28068-11254","A69-1604-28068","2023-02-17 08:52:02",375529.361079013,3362383.46085742,-88.2955533035189,30.3870197953182
"18769","A69-1604-28068-11254","A69-1604-28068","2023-02-17 08:55:02",375529.131630815,3362383.68629266,-88.2955557180561,30.3870218054606
"18770","A69-1604-28068-11254","A69-1604-28068","2023-02-17 08:58:02",375528.40274887,3362382.9592003,-88.2955632164412,30.3870151705798
"18771","A69-1604-28068-11254","A69-1604-28068","2023-02-17 09:01:02",375528.458634696,3362382.27628734,-88.2955625535797,30.3870090152692
"18772","A69-1604-28068-11254","A69-1604-28068","2023-02-17 09:04:02",375527.23333004,3362384.80091826,-88.2955756049824,30.3870316654273
"18773","A69-1604-28068-11254","A69-1604-28068","2023-02-17 09:07:02",375531.545532536,3362395.3204293,-88.295531983316,30.3871270150074
"18774","A69-1604-28068-11254","A69-1604-28068","2023-02-17 09:10:02",375537.904730477,3362404.49171037,-88.2954668994425,30.3872104124174
"18775","A69-1604-28068-11254","A69-1604-28068","2023-02-17 09:13:02",375549.67681355,3362415.10425498,-88.2953456589006,30.3873073711115
"18776","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:33:29",375520.202935907,3362308.09495754,-88.2956396331274,30.3863389168446
"18777","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:36:29",375525.614309732,3362321.66889031,-88.2955849372166,30.3864619361581
"18778","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:39:29",375519.904490759,3362326.17483472,-88.2956448912405,30.3865019984063
"18779","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:42:29",375525.605222727,3362318.66287651,-88.2955846739238,30.3864348156759
"18780","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:45:29",375524.015337131,3362303.57540818,-88.2955994224857,30.3862985360207
"18781","A69-1604-28068-11272","A69-1604-28068","2023-02-18 11:48:29",375520.674395459,3362299.88259371,-88.2956337493446,30.3862648755041
"18782","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:40:20",375450.666628789,3362363.04983583,-88.2963697877436,30.3868275275768
"18783","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:43:20",375450.803910367,3362363.75373098,-88.2963684430055,30.3868338921271
"18784","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:46:20",375450.698356996,3362367.04491123,-88.2963699334657,30.3868635734637
"18785","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:49:20",375452.952190554,3362368.90873185,-88.2963467015227,30.3868806211611
"18786","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:52:20",375453.145519552,3362364.48728898,-88.2963441630197,30.3868407519309
"18787","A69-1604-28068-11282","A69-1604-28068","2023-02-18 18:55:20",375450.77958927,3362364.33111153,-88.2963687648744,30.386839098604
"18788","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:27:01",375535.989743925,3362405.15535306,-88.295486906351,30.3872162020139
"18789","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:30:01",375537.134963518,3362401.6037385,-88.295474566079,30.3871842783803
"18790","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:33:01",375539.075365035,3362399.76424081,-88.2954541547314,30.3871678831199
"18791","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:36:01",375539.406951445,3362402.37336181,-88.2954510147306,30.3871914562097
"18792","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:39:01",375540.246301727,3362402.75257021,-88.2954423253483,30.3871949639582
"18793","A69-1604-28068-11341","A69-1604-28068","2023-02-21 15:42:01",375537.793333149,3362400.11803747,-88.2954675380386,30.3871709426831
"18794","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:42:48",375581.066140035,3362410.79852021,-88.2950184996834,30.3872717644985
"18795","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:45:48",375553.3821978,3362401.35490145,-88.2953054630454,30.3871837100624
"18796","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:48:48",375544.605805418,3362400.58725433,-88.2953967013461,30.3871758788809
"18797","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:51:48",375534.772537802,3362400.33199298,-88.2954989987719,30.3871725611861
"18798","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:54:48",375531.480542313,3362397.36287126,-88.2955329027642,30.3871454347259
"18799","A69-1604-28068-11347","A69-1604-28068","2023-02-21 16:57:48",375522.758241028,3362397.04721004,-88.2956236319282,30.3871416866792
"18800","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:18:55",375517.712129672,3362354.66459778,-88.2956710972627,30.3867588
"18801","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:21:55",375517.789985091,3362354.69068889,-88.2956702901866,30.3867590434237
"18802","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:24:55",375517.865917148,3362354.8197239,-88.2956695153815,30.3867602153842
"18803","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:27:55",375517.828899917,3362354.82433251,-88.2956699011405,30.3867602531413
"18804","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:30:55",375517.75800869,3362354.49781441,-88.2956705999781,30.3867573000555
"18805","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:33:55",375517.602679633,3362354.19383549,-88.2956721801795,30.3867545415975
"18806","A69-1604-28068-11541","A69-1604-28068","2023-03-18 08:36:55",375516.858104547,3362354.2563651,-88.2956799358528,30.3867550288724
"18807","A69-1604-28068-11720","A69-1604-28068","2023-04-18 21:49:47",375524.481191329,3362413.84364159,-88.2956077020632,30.3872933979158
"18808","A69-1604-28068-11720","A69-1604-28068","2023-04-18 21:52:47",375524.464164514,3362413.6794399,-88.2956078597007,30.3872919147699
"18809","A69-1604-28068-11720","A69-1604-28068","2023-04-18 21:55:47",375527.837799723,3362419.7738161,-88.2955734781724,30.3873472449775
"18810","A69-1604-28068-11720","A69-1604-28068","2023-04-18 21:58:47",375533.906496801,3362423.31893093,-88.295510747479,30.3873798544947
"18811","A69-1604-28068-11720","A69-1604-28068","2023-04-18 22:01:47",375533.507005184,3362425.21865536,-88.2955151308633,30.3873969521268
"18812","A69-1604-28068-11720","A69-1604-28068","2023-04-18 22:04:47",375531.634102022,3362426.74047159,-88.2955348020421,30.3874104882952
"18813","A69-1604-28068-11720","A69-1604-28068","2023-04-18 22:07:47",375530.150239148,3362426.36706415,-88.2955501991293,30.3874069663561
"18814","A69-1604-28068-11720","A69-1604-28068","2023-04-18 22:10:47",375530.765449161,3362426.13931622,-88.2955437699493,30.3874049751632
"18815","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:22:51",375529.995379988,3362425.98223653,-88.2955517648292,30.3874034785503
"18816","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:25:51",375526.974376672,3362424.84266375,-88.295583066664,30.3873928857994
"18817","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:28:51",375523.627119519,3362423.89804671,-88.2956177868001,30.3873840182117
"18818","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:31:51",375514.726694914,3362423.10948742,-88.2957103134808,30.3873759853403
"18819","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:34:51",375515.597905753,3362422.31308836,-88.2957011525723,30.3873688903449
"18820","A69-1604-28068-11722","A69-1604-28068","2023-04-18 22:37:51",375514.074544105,3362422.33400973,-88.2957170076325,30.3873689218498
"18821","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:34:01",375437.876328373,3362381.59609322,-88.2965050962317,30.3869935264987
"18822","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:37:01",375442.418331089,3362376.93429452,-88.296457275597,30.3869519379768
